CDSCode,School,Street,StreetAbr,City,Zip,State,EILCode,Virtual,Latitude,Longitude,LastUpDate,AddrZip,SmallZip,Address
37735516037774,Buena Vista Elementary,1330 Buena Vista Way,1330 Buena Vista Way,Carlsbad,92008-1535,CA,ELEM,N,33.168932,-117.34252,2020-08-13,92008,92008.0,"1330 Buena Vista Way, Carlsbad, CA, 92008"
37735516037782,Jefferson Elementary,3743 Jefferson Street,3743 Jefferson St.,Carlsbad,92008-3336,CA,ELEM,N,33.153787,-117.33958,2020-08-13,92008,92008.0,"3743 Jefferson Street, Carlsbad, CA, 92008"
37735516037790,Magnolia Elementary,1905 Magnolia Avenue,1905 Magnolia Ave.,Carlsbad,92008-2632,CA,ELEM,N,33.160076,-117.3267,2020-08-13,92008,92008.0,"1905 Magnolia Avenue, Carlsbad, CA, 92008"
37735516037816,Valley Middle,1645 Magnolia Avenue,1645 Magnolia Ave.,Carlsbad,92008-2626,CA,INTMIDJR,N,33.158874,-117.32931,2020-08-13,92008,92008.0,"1645 Magnolia Avenue, Carlsbad, CA, 92008"
37735516099352,Kelly Elementary,4885 Kelly Drive,4885 Kelly Dr.,Carlsbad,92008-3734,CA,ELEM,N,33.14836,-117.31122,2020-08-13,92008,92008.0,"4885 Kelly Drive, Carlsbad, CA, 92008"
37735516106512,Hope Elementary,3010 Tamarack Avenue,3010 Tamarack Ave.,Carlsbad,92008-2430,CA,ELEM,N,33.17052,-117.30462,2020-08-13,92008,92008.0,"3010 Tamarack Avenue, Carlsbad, CA, 92008"
37735516109201,Aviara Oaks Elementary,6900 Ambrosia Lane,6900 Ambrosia Ln.,Carlsbad,92009-2430,CA,ELEM,N,33.101346,-117.27667,2020-08-13,92009,92009.0,"6900 Ambrosia Lane, Carlsbad, CA, 92009"
37735516116578,Pacific Rim Elementary,1100 Camino de las Ondas,1100 Camino de las Ondas,Carlsbad,92009-3400,CA,ELEM,N,33.110252,-117.30595,2020-08-13,92009,92009.0,"1100 Camino de las Ondas, Carlsbad, CA, 92009"
37735516118137,Aviara Oaks Middle,6880 Ambrosia Lane,6880 Ambrosia Ln.,Carlsbad,92011-5057,CA,INTMIDJR,N,33.103077,-117.27894,2020-08-13,92011,92011.0,"6880 Ambrosia Lane, Carlsbad, CA, 92011"
37735516120711,Calavera Hills Elementary,4100 Tamarack Avenue,4100 Tamarack Ave.,Carlsbad,92008-7101,CA,ELEM,N,33.172385,-117.29083,2020-08-13,92008,92008.0,"4100 Tamarack Avenue, Carlsbad, CA, 92008"
37735690113514,Louise Foussat Elementary,3800 Pala Road,3800 Pala Rd.,Oceanside,92058-0678,CA,ELEM,N,33.237973,-117.32914,2020-08-13,92058,92058.0,"3800 Pala Road, Oceanside, CA, 92058"
37735690113522,Cesar Chavez Middle,202 Oleander Drive,202 Oleander Dr.,Oceanside,92057-6122,CA,INTMIDJR,N,33.241726,-117.30066,2020-08-13,92057,92057.0,"202 Oleander Drive, Oceanside, CA, 92057"
37735690136267,Coastal Academy Charter,4096 Calle Platino,4096 Calle Platino,Oceanside,92056-5805,CA,ELEMHIGH,C,33.206522,-117.29292,2020-08-13,92056,92056.0,"4096 Calle Platino, Oceanside, CA, 92056"
37735690140079,Surfside Academy,1125 South Ditmar Street,1125 South Ditmar St.,Oceanside,92054-5103,CA,ELEMHIGH,V,33.18541,-117.36811,2020-08-19,92054,92054.0,"1125 South Ditmar Street, Oceanside, CA, 92054"
37735690140343,Oceanside Unified School District Adult Transition Program,707 Carey Road,707 Carey Rd.,Oceanside,92058-2311,CA,UG,N,33.208707,-117.36229,2020-09-09,92058,92058.0,"707 Carey Road, Oceanside, CA, 92058"
37735693731221,Pacific View Charter,3670 Ocean Ranch Boulevard,3670 Ocean Ranch Blvd.,Oceanside,92056-2669,CA,ELEMHIGH,N,33.210649,-117.31151,2019-02-13,92056,92056.0,"3670 Ocean Ranch Boulevard, Oceanside, CA, 92056"
37735693735206,Oceanside High,1 Pirates Cove,1 Pirates Cove,Oceanside,92054-3066,CA,HS,C,33.197067,-117.37414,2020-07-08,92054,92054.0,"1 Pirates Cove, Oceanside, CA, 92054"
37735693739018,El Camino High,400 Rancho del Oro Drive,400 Rancho del Oro Dr.,Oceanside,92057-8316,CA,HS,C,33.219594,-117.31909,2019-03-25,92057,92057.0,"400 Rancho del Oro Drive, Oceanside, CA, 92057"
37735693739026,Surfside High (Continuation),1125 South Ditmar Street,1125 South Ditmar St.,Oceanside,92054-5103,CA,HS,C,33.18541,-117.36811,2020-08-20,92054,92054.0,"1125 South Ditmar Street, Oceanside, CA, 92054"
37735696038830,Jefferson Middle,823 Acacia Street,823 Acacia St.,Oceanside,92058-2305,CA,INTMIDJR,N,33.208382,-117.36389,2020-08-13,92058,92058.0,"823 Acacia Street, Oceanside, CA, 92058"
37735696038848,Laurel Elementary,1410 Laurel Street,1410 Laurel St.,Oceanside,92058-2217,CA,ELEM,N,33.207375,-117.37345,2020-08-13,92058,92058.0,"1410 Laurel Street, Oceanside, CA, 92058"
37735696038855,Libby Elementary,423 West Redondo Drive,423 West Redondo Dr.,Oceanside,92057-4316,CA,ELEM,N,33.251715,-117.30467,2020-08-13,92057,92057.0,"423 West Redondo Drive, Oceanside, CA, 92057"
37735696038863,Lincoln Middle,2000 California Street,2000 California St.,Oceanside,92054-5683,CA,INTMIDJR,N,33.187731,-117.35255,2020-08-13,92054,92054.0,"2000 California Street, Oceanside, CA, 92054"
37735696038871,Mission Elementary,2100 Mission Avenue,2100 Mission Ave.,Oceanside,92058-2327,CA,ELEM,N,33.205741,-117.36293,2020-08-13,92058,92058.0,"2100 Mission Avenue, Oceanside, CA, 92058"
37735696038889,North Terrace Elementary,141 Santa Rosa Drive,141 Santa Rosa Dr.,Oceanside,92058-6880,CA,ELEM,N,33.21915,-117.38004,2020-08-13,92058,92058.0,"141 Santa Rosa Drive, Oceanside, CA, 92058"
37735696038897,Palmquist Elementary,1999 California Street,1999 California St.,Oceanside,92054-5685,CA,ELEM,N,33.189628,-117.34938,2020-08-13,92054,92054.0,"1999 California Street, Oceanside, CA, 92054"
37735696038905,San Luis Rey Elementary,3535 Hacienda Drive,3535 Hacienda Dr.,Oceanside,92054-3854,CA,ELEM,N,33.219659,-117.3362,2020-08-13,92054,92054.0,"3535 Hacienda Drive, Oceanside, CA, 92054"
37735696038913,Santa Margarita Elementary,1 Carnes Road,1 Carnes Rd.,Oceanside,92058-6699,CA,ELEM,N,33.230925,-117.37907,2020-08-13,92058,92058.0,"1 Carnes Road, Oceanside, CA, 92058"
37735696038921,South Oceanside Elementary,1806 South Horne Street,1806 South Horne St.,Oceanside,92054-6017,CA,ELEM,N,33.177487,-117.35807,2020-08-13,92054,92054.0,"1806 South Horne Street, Oceanside, CA, 92054"
37735696088991,Del Rio Elementary,5200 North River Road,5200 North River Rd.,Oceanside,92057-3811,CA,ELEM,N,33.255349,-117.29486,2020-08-13,92057,92057.0,"5200 North River Road, Oceanside, CA, 92057"
37735696106546,Reynolds Elementary,4575 Douglas Drive,4575 Douglas Dr.,Oceanside,92057-4228,CA,ELEM,N,33.255862,-117.3144,2019-02-13,92057,92057.0,"4575 Douglas Drive, Oceanside, CA, 92057"
37735696108211,Christa McAuliffe Elementary,3701 Kelton Drive,3701 Kelton Dr.,Oceanside,92056-6311,CA,ELEM,N,33.200502,-117.30626,2020-08-13,92056,92056.0,"3701 Kelton Drive, Oceanside, CA, 92056"
37735696109995,Ivey Ranch Elementary,4275 Via Rancho Road,4275 Via Rancho Rd.,Oceanside,92057-8534,CA,ELEM,N,33.219404,-117.30103,2020-08-13,92057,92057.0,"4275 Via Rancho Road, Oceanside, CA, 92057"
37735696111777,Martin Luther King Jr. Middle,1290 Ivey Ranch Road,1290 Ivey Ranch Rd.,Oceanside,92057-8535,CA,INTMIDJR,N,33.215828,-117.31067,2020-08-13,92057,92057.0,"1290 Ivey Ranch Road, Oceanside, CA, 92057"
37735696115299,Stuart Mesa Elementary,100 Yamanaka Way,100 Yamanaka Way,Oceanside,92058-8016,CA,ELEM,N,33.254199,-117.40995,2020-08-13,92058,92058.0,"100 Yamanaka Way, Oceanside, CA, 92058"
37735696119713,Nichols Elementary,4250 Old Grove Road,4250 Old Grove Rd.,Oceanside,92057-6539,CA,ELEM,N,33.23807,-117.31559,2020-08-13,92057,92057.0,"4250 Old Grove Road, Oceanside, CA, 92057"
37737910105684,San Elijo Middle,1600 Schoolhouse Way,1600 Schoolhouse Way,San Marcos,92078-1079,CA,INTMIDJR,N,33.09882,-117.19736,2020-08-13,92078,92078.0,"1600 Schoolhouse Way, San Marcos, CA, 92078"
37737910105726,Mission Hills High,1 Mission Hills Court,1 Mission Hills Ct.,San Marcos,92069-1965,CA,HS,N,33.147163,-117.14694,2020-08-13,92069,92069.0,"1 Mission Hills Court, San Marcos, CA, 92069"
37737910111468,San Elijo Elementary,1615 Schoolhouse Way,1615 Schoolhouse Way,San Marcos,92078-1080,CA,ELEM,N,33.1,-117.1953,2020-08-13,92078,92078.0,"1615 Schoolhouse Way, San Marcos, CA, 92078"
