,EILName,Latitude,Longitude,Address,Zipcode,"School, District",DistrictName,CumulativeEnrollment,Median family income (dollars),Mean family income (dollars),"Health insurance coverage, % of civilian pop",No health insurance for civilian pop,No health insurance coverage %,Worked at home,Population 16+,Children of the household 6-17,"Households with income $0-34,999","Households with income $35,000-99,999","Households with income $100,000+",Percent Increase,Absolute Increase Standardized,predictions
92,Elementary,32.8008,-116.9562,"500 West Madison,El Cajon,CA,92020",92020,"Johnson Elementary, Cajon Valley Union",Cajon Valley Union,795.0,58493.0,80649.0,89.0,6347.0,11.0,1410.0,45793.0,8922.0,6783.0,7889.0,4380.0,28.12,0.005066276505142708,1
93,High School,32.816861,-116.97965,"1600 North Cuyamaca Street,El Cajon,CA,92020",92020,"MERIT Academy, Grossmont Union High",Grossmont Union High,100.0,58493.0,80649.0,89.0,6347.0,11.0,1410.0,45793.0,8922.0,6783.0,7889.0,4380.0,28.12,0.005066276505142708,1
94,High School,32.816861,-116.97965,"1600 North Cuyamaca Street,El Cajon,CA,92020",92020,"IDEA Center, Grossmont Union High",Grossmont Union High,270.0,58493.0,80649.0,89.0,6347.0,11.0,1410.0,45793.0,8922.0,6783.0,7889.0,4380.0,28.12,0.005066276505142708,1
95,High School,32.814927,-117.00889,"8800 Grossmont College Drive,El Cajon,CA,92020",92020,"Grossmont Middle College High, Grossmont Union High",Grossmont Union High,71.0,58493.0,80649.0,89.0,6347.0,11.0,1410.0,45793.0,8922.0,6783.0,7889.0,4380.0,28.12,0.005066276505142708,1
96,High School,32.816896,-116.9797,"1600 North Cuyamaca Street,El Cajon,CA,92020",92020,"Chaparral High, Grossmont Union High",Grossmont Union High,178.0,58493.0,80649.0,89.0,6347.0,11.0,1410.0,45793.0,8922.0,6783.0,7889.0,4380.0,28.12,0.005066276505142708,1
97,Elementary,32.800478,-116.99618,"2330 Center Place,El Cajon,CA,92020",92020,"Fletcher Hills Elementary, La Mesa-Spring Valley",La Mesa-Spring Valley,699.0,58493.0,80649.0,89.0,6347.0,11.0,1410.0,45793.0,8922.0,6783.0,7889.0,4380.0,28.12,0.005066276505142708,1
98,Elementary,32.826876,-116.95401,"1935 Marlinda Way,El Cajon,CA,92020",92020,"Pepper Drive Elementary, Santee",Santee,1022.0,58493.0,80649.0,89.0,6347.0,11.0,1410.0,45793.0,8922.0,6783.0,7889.0,4380.0,28.12,0.005066276505142708,1
99,Elementary,32.791145,-116.94234,"1145 Redwood Avenue,El Cajon,CA,92019",92019,"Lexington Elementary, Cajon Valley Union",Cajon Valley Union,936.0,89860.0,108196.0,92.6,3163.0,7.4,1295.0,35355.0,5993.0,3382.0,5979.0,5527.0,30.16,0.0037618441521708387,0
100,Elementary,32.800143,-116.922,"1615 East Madison Avenue,El Cajon,CA,92019",92019,"Madison Avenue Elementary, Cajon Valley Union",Cajon Valley Union,707.0,89860.0,108196.0,92.6,3163.0,7.4,1295.0,35355.0,5993.0,3382.0,5979.0,5527.0,30.16,0.0037618441521708387,0
101,Elementary,32.788386,-116.92685,"651 South Third Street,El Cajon,CA,92019",92019,"Meridian Elementary, Cajon Valley Union",Cajon Valley Union,648.0,89860.0,108196.0,92.6,3163.0,7.4,1295.0,35355.0,5993.0,3382.0,5979.0,5527.0,30.16,0.0037618441521708387,0
102,Intermediate/Middle/Junior High,32.79653,-116.92542,"1570 Melody Lane,El Cajon,CA,92019",92019,"Montgomery Middle, Cajon Valley Union",Cajon Valley Union,985.0,89860.0,108196.0,92.6,3163.0,7.4,1295.0,35355.0,5993.0,3382.0,5979.0,5527.0,30.16,0.0037618441521708387,0
103,Elementary,32.76508,-116.91501,"1908 Vista Grande Road,El Cajon,CA,92019",92019,"Vista Grande Elementary, Cajon Valley Union",Cajon Valley Union,635.0,89860.0,108196.0,92.6,3163.0,7.4,1295.0,35355.0,5993.0,3382.0,5979.0,5527.0,30.16,0.0037618441521708387,0
104,Elementary,32.754628,-116.93287,"12151 Calle Albara,El Cajon,CA,92019",92019,"Rancho San Diego Elementary, Cajon Valley Union",Cajon Valley Union,628.0,89860.0,108196.0,92.6,3163.0,7.4,1295.0,35355.0,5993.0,3382.0,5979.0,5527.0,30.16,0.0037618441521708387,0
105,Elementary,32.740143,-116.91223,"2962 Jamul Drive,El Cajon,CA,92019",92019,"Jamacha Elementary, Cajon Valley Union",Cajon Valley Union,518.0,89860.0,108196.0,92.6,3163.0,7.4,1295.0,35355.0,5993.0,3382.0,5979.0,5527.0,30.16,0.0037618441521708387,0
106,Intermediate/Middle/Junior High,32.74944,-116.9324,"1301 Brabham Street,El Cajon,CA,92019",92019,"Hillsdale Middle, Cajon Valley Union",Cajon Valley Union,1581.0,89860.0,108196.0,92.6,3163.0,7.4,1295.0,35355.0,5993.0,3382.0,5979.0,5527.0,30.16,0.0037618441521708387,0
107,Elementary,32.781239,-116.8512,"4612 Dehesa Road,El Cajon,CA,92019",92019,"Dehesa Elementary, Dehesa Elementary",Dehesa Elementary,163.0,89860.0,108196.0,92.6,3163.0,7.4,1295.0,35355.0,5993.0,3382.0,5979.0,5527.0,30.16,0.0037618441521708387,0
108,High School,32.793343,-116.93536,"230 Jamacha Road,El Cajon,CA,92019",92019,"REACH Academy, Grossmont Union High",Grossmont Union High,35.0,89860.0,108196.0,92.6,3163.0,7.4,1295.0,35355.0,5993.0,3382.0,5979.0,5527.0,30.16,0.0037618441521708387,0
109,High School,32.762192,-116.92037,"1725 Hillsdale Road,El Cajon,CA,92019",92019,"Valhalla High, Grossmont Union High",Grossmont Union High,2194.0,89860.0,108196.0,92.6,3163.0,7.4,1295.0,35355.0,5993.0,3382.0,5979.0,5527.0,30.16,0.0037618441521708387,2
110,High School,32.793615,-116.93495,"230 Jamacha Boulevard,El Cajon,CA,92019",92019,"Elite Academy, Grossmont Union High",Grossmont Union High,50.0,89860.0,108196.0,92.6,3163.0,7.4,1295.0,35355.0,5993.0,3382.0,5979.0,5527.0,30.16,0.0037618441521708387,0
111,High School,32.800159,-116.91681,"1719 East Madison Avenue,El Cajon,CA,92019",92019,"Granite Hills High, Grossmont Union High",Grossmont Union High,2388.0,89860.0,108196.0,92.6,3163.0,7.4,1295.0,35355.0,5993.0,3382.0,5979.0,5527.0,30.16,0.0037618441521708387,2
112,Elementary,32.750432,-116.96075,"3845 Avocado School Road,La Mesa,CA,91941",91941,"Avocado Elementary, Cajon Valley Union",Cajon Valley Union,628.0,92253.0,115289.0,92.5,2452.0,7.5,1008.0,26460.0,4170.0,2625.0,4898.0,4350.0,38.26,0.003325774754346183,0
113,Elementary,32.757662,-117.03215,"4370 Parks Avenue,La Mesa,CA,91941",91941,"La Mesa Dale Elementary, La Mesa-Spring Valley",La Mesa-Spring Valley,542.0,92253.0,115289.0,92.5,2452.0,7.5,1008.0,26460.0,4170.0,2625.0,4898.0,4350.0,38.26,0.003325774754346183,0
114,Elementary,32.768184,-117.00837,"8787 Lemon Avenue,La Mesa,CA,91941",91941,"Lemon Avenue Elementary, La Mesa-Spring Valley",La Mesa-Spring Valley,645.0,92253.0,115289.0,92.5,2452.0,7.5,1008.0,26460.0,4170.0,2625.0,4898.0,4350.0,38.26,0.003325774754346183,0
115,Elementary,32.777787,-117.0382,"5400 Maryland Avenue,La Mesa,CA,91941",91941,"Maryland Avenue Elementary, La Mesa-Spring Valley",La Mesa-Spring Valley,563.0,92253.0,115289.0,92.5,2452.0,7.5,1008.0,26460.0,4170.0,2625.0,4898.0,4350.0,38.26,0.003325774754346183,0
116,Elementary,32.763199,-117.04876,"6925 Tower Street,La Mesa,CA,91941",91941,"Rolando Elementary, La Mesa-Spring Valley",La Mesa-Spring Valley,598.0,92253.0,115289.0,92.5,2452.0,7.5,1008.0,26460.0,4170.0,2625.0,4898.0,4350.0,38.26,0.003325774754346183,0
117,Elementary,32.758828,-116.98474,"4354 Conrad Drive,La Mesa,CA,91941",91941,"Murdock Elementary, La Mesa-Spring Valley",La Mesa-Spring Valley,648.0,92253.0,115289.0,92.5,2452.0,7.5,1008.0,26460.0,4170.0,2625.0,4898.0,4350.0,38.26,0.003325774754346183,0
118,Elementary,32.748456,-117.04497,"3900 Violet Street,La Mesa,CA,91941",91941,"Vista La Mesa Academy, Lemon Grove",Lemon Grove,697.0,92253.0,115289.0,92.5,2452.0,7.5,1008.0,26460.0,4170.0,2625.0,4898.0,4350.0,38.26,0.003325774754346183,0
119,Elementary,33.03128,-117.27349,"1508 Windsor Road,Cardiff-by-the-Sea,CA,92007",92007,"Ada W. Harris Elementary, Cardiff Elementary",Cardiff Elementary,368.0,136346.0,180499.0,94.6,606.0,5.4,857.0,9479.0,1501.0,615.0,1519.0,2350.0,30.56,0.0011604599641312375,0
120,Elementary,33.025044,-117.2822,"1888 Montgomery Avenue,Cardiff-by-the-Sea,CA,92007",92007,"Cardiff Elementary, Cardiff Elementary",Cardiff Elementary,354.0,136346.0,180499.0,94.6,606.0,5.4,857.0,9479.0,1501.0,615.0,1519.0,2350.0,30.56,0.0011604599641312375,0
121,Elementary,32.61674,-117.015,"930 East Palomar,Chula Vista,CA,91913",91913,"Hedenkamp (Anne and William) Elementary, Chula Vista Elementary",Chula Vista Elementary,1035.0,93540.0,110780.0,92.5,3611.0,7.5,1490.0,36614.0,9816.0,2629.0,5863.0,5877.0,24.01,0.003632490304255203,2
122,Elementary,32.623835,-116.97634,"1550 Magdalena Avenue,Chula Vista,CA,91913",91913,"Veterans Elementary, Chula Vista Elementary",Chula Vista Elementary,925.0,93540.0,110780.0,92.5,3611.0,7.5,1490.0,36614.0,9816.0,2629.0,5863.0,5877.0,24.01,0.003632490304255203,2
123,Elementary,32.611931,-116.97324,"1950 Wolf Canyon Loop,Chula Vista,CA,91913",91913,"Wolf Canyon Elementary, Chula Vista Elementary",Chula Vista Elementary,822.0,93540.0,110780.0,92.5,3611.0,7.5,1490.0,36614.0,9816.0,2629.0,5863.0,5877.0,24.01,0.003632490304255203,2
124,Elementary,32.64483,-116.99102,"1691 Elmhurst Street,Chula Vista,CA,91913",91913,"Tiffany (Burton C.) Elementary, Chula Vista Elementary",Chula Vista Elementary,531.0,93540.0,110780.0,92.5,3611.0,7.5,1490.0,36614.0,9816.0,2629.0,5863.0,5877.0,24.01,0.003632490304255203,2
125,Elementary,32.657494,-116.98515,"1955 Hillside Drive,Chula Vista,CA,91913",91913,"EastLake Elementary, Chula Vista Elementary",Chula Vista Elementary,596.0,93540.0,110780.0,92.5,3611.0,7.5,1490.0,36614.0,9816.0,2629.0,5863.0,5877.0,24.01,0.003632490304255203,2
126,Elementary,32.626236,-116.9953,"1450 Santa Lucia Road,Chula Vista,CA,91913",91913,"Heritage Elementary, Chula Vista Elementary",Chula Vista Elementary,858.0,93540.0,110780.0,92.5,3611.0,7.5,1490.0,36614.0,9816.0,2629.0,5863.0,5877.0,24.01,0.003632490304255203,2
127,Elementary,32.631793,-116.98529,"1201 Santa Cora Avenue,Chula Vista,CA,91913",91913,"McMillin (Corky) Elementary, Chula Vista Elementary",Chula Vista Elementary,891.0,93540.0,110780.0,92.5,3611.0,7.5,1490.0,36614.0,9816.0,2629.0,5863.0,5877.0,24.01,0.003632490304255203,2
128,High School,32.607105,-116.97209,"1925 Magdalena Avenue,Chula Vista,CA,91913",91913,"Olympian High, Sweetwater Union High",Sweetwater Union High,2604.0,93540.0,110780.0,92.5,3611.0,7.5,1490.0,36614.0,9816.0,2629.0,5863.0,5877.0,24.01,0.003632490304255203,2
129,High School,32.6101,-117.0768,"1791 Rock Mountain Road,Chula Vista,CA,91913",91913,"East Hills Academy, Sweetwater Union High",Sweetwater Union High,82.0,93540.0,110780.0,92.5,3611.0,7.5,1490.0,36614.0,9816.0,2629.0,5863.0,5877.0,24.01,0.003632490304255203,2
130,High School,32.64603,-117.00114,"751 Otay Lakes Road,Chula Vista,CA,91913",91913,"Bonita Vista Senior High, Sweetwater Union High",Sweetwater Union High,2479.0,93540.0,110780.0,92.5,3611.0,7.5,1490.0,36614.0,9816.0,2629.0,5863.0,5877.0,24.01,0.003632490304255203,2
131,High School,32.619073,-116.99635,"1250 Olympic Parkway,Chula Vista,CA,91913",91913,"Otay Ranch Senior High, Sweetwater Union High",Sweetwater Union High,2510.0,93540.0,110780.0,92.5,3611.0,7.5,1490.0,36614.0,9816.0,2629.0,5863.0,5877.0,24.01,0.003632490304255203,2
132,Elementary,32.663976,-116.97761,"2175 Proctor Valley Road,Chula Vista,CA,91914",91914,"Liberty Elementary, Chula Vista Elementary",Chula Vista Elementary,722.0,139417.0,157134.0,96.8,538.0,3.2,326.0,12517.0,3774.0,361.0,1144.0,3093.0,34.27,0.004873372213789247,0
133,Elementary,32.649018,-116.94925,"1055 Hunte Parkway,Chula Vista,CA,91914",91914,"Salt Creek Elementary, Chula Vista Elementary",Chula Vista Elementary,946.0,139417.0,157134.0,96.8,538.0,3.2,326.0,12517.0,3774.0,361.0,1144.0,3093.0,34.27,0.004873372213789247,0
134,Elementary,32.659064,-116.9682,"2295 MacKenzie Creek Road,Chula Vista,CA,91914",91914,"Marshall (Thurgood) Elementary, Chula Vista Elementary",Chula Vista Elementary,691.0,139417.0,157134.0,96.8,538.0,3.2,326.0,12517.0,3774.0,361.0,1144.0,3093.0,34.27,0.004873372213789247,0
135,Intermediate/Middle/Junior High,32.655591,-116.94818,"900 Duncan Ranch Road,Chula Vista,CA,91914",91914,"Eastlake Middle, Sweetwater Union High",Sweetwater Union High,1896.0,139417.0,157134.0,96.8,538.0,3.2,326.0,12517.0,3774.0,361.0,1144.0,3093.0,34.27,0.004873372213789247,0
136,Elementary,32.622811,-116.95651,"1650 Exploration Falls Drive,Chula Vista,CA,91915",91915,"Camarena (Enrique S.) Elementary, Chula Vista Elementary",Chula Vista Elementary,1094.0,105354.0,118655.0,95.2,1506.0,4.8,700.0,23325.0,6732.0,881.0,2880.0,4444.0,28.0,0.0039013933547695605,0
137,Elementary,32.615167,-116.99163,"1644 Santa Alexia Avenue,Chula Vista,CA,91915",91915,"Muraoka (Saburo) Elementary, Chula Vista Elementary",Chula Vista Elementary,789.0,105354.0,118655.0,95.2,1506.0,4.8,700.0,23325.0,6732.0,881.0,2880.0,4444.0,28.0,0.0039013933547695605,0
138,Elementary,32.63572,-116.96342,"1220 South Greensview Drive,Chula Vista,CA,91915",91915,"Olympic View Elementary, Chula Vista Elementary",Chula Vista Elementary,782.0,105354.0,118655.0,95.2,1506.0,4.8,700.0,23325.0,6732.0,881.0,2880.0,4444.0,28.0,0.0039013933547695605,0
139,High School,32.646442,-116.96522,"1120 Eastlake Parkway,Chula Vista,CA,91915",91915,"Eastlake High, Sweetwater Union High",Sweetwater Union High,3046.0,105354.0,118655.0,95.2,1506.0,4.8,700.0,23325.0,6732.0,881.0,2880.0,4444.0,28.0,0.0039013933547695605,0
140,Elementary,32.656765,-117.03358,"4300 Allen School Road,Bonita,CA,91902",91902,"Allen (Ella B.) Elementary, Chula Vista Elementary",Chula Vista Elementary,380.0,104025.0,121292.0,88.6,2235.0,11.4,523.0,16184.0,2710.0,835.0,2416.0,2827.0,31.36,0.0032748393475037075,0
141,Elementary,32.674619,-117.01545,"5430 San Miguel Road,Bonita,CA,91902",91902,"Sunnyside Elementary, Chula Vista Elementary",Chula Vista Elementary,453.0,104025.0,121292.0,88.6,2235.0,11.4,523.0,16184.0,2710.0,835.0,2416.0,2827.0,31.36,0.0032748393475037075,0
142,Elementary,32.659676,-117.04907,"3724 Valley Vista Way,Bonita,CA,91902",91902,"Valley Vista Elementary, Chula Vista Elementary",Chula Vista Elementary,621.0,104025.0,121292.0,88.6,2235.0,11.4,523.0,16184.0,2710.0,835.0,2416.0,2827.0,31.36,0.0032748393475037075,0
143,Elementary,32.602452,-117.04055,"1540 Malta Avenue,Chula Vista,CA,91911",91911,"Rohr (Fred H.) Elementary, Chula Vista Elementary",Chula Vista Elementary,326.0,55898.0,69335.0,86.0,11700.0,14.0,1262.0,65531.0,13691.0,7867.0,11685.0,4736.0,29.75,0.006760159313912499,1
144,Elementary,32.611251,-117.07781,"510 East Naples Street,Chula Vista,CA,91911",91911,"Rogers (Greg) Elementary, Chula Vista Elementary",Chula Vista Elementary,451.0,55898.0,69335.0,86.0,11700.0,14.0,1262.0,65531.0,13691.0,7867.0,11685.0,4736.0,29.75,0.006760159313912499,1
145,Elementary,32.609058,-117.08551,"681 Naples Street,Chula Vista,CA,91911",91911,"Harborside Elementary, Chula Vista Elementary",Chula Vista Elementary,725.0,55898.0,69335.0,86.0,11700.0,14.0,1262.0,65531.0,13691.0,7867.0,11685.0,4736.0,29.75,0.006760159313912499,1
146,Elementary,32.625934,-117.0562,"875 Cuyamaca Avenue,Chula Vista,CA,91911",91911,"Cook (Hazel Goes) Elementary, Chula Vista Elementary",Chula Vista Elementary,381.0,55898.0,69335.0,86.0,11700.0,14.0,1262.0,65531.0,13691.0,7867.0,11685.0,4736.0,29.75,0.006760159313912499,1
147,Elementary,32.620279,-117.07566,"390 Palomar Street,Chula Vista,CA,91911",91911,"Lauderbach (J. Calvin) Elementary, Chula Vista Elementary",Chula Vista Elementary,876.0,55898.0,69335.0,86.0,11700.0,14.0,1262.0,65531.0,13691.0,7867.0,11685.0,4736.0,29.75,0.006760159313912499,1
148,Elementary,32.597875,-117.069,"1601 Fourth Avenue,Chula Vista,CA,91911",91911,"Montgomery (John J.) Elementary, Chula Vista Elementary",Chula Vista Elementary,363.0,55898.0,69335.0,86.0,11700.0,14.0,1262.0,65531.0,13691.0,7867.0,11685.0,4736.0,29.75,0.006760159313912499,1
149,Elementary,32.619721,-117.04805,"229 East Naples Street,Chula Vista,CA,91911",91911,"Kellogg (Karl H.) Elementary, Chula Vista Elementary",Chula Vista Elementary,364.0,55898.0,69335.0,86.0,11700.0,14.0,1262.0,65531.0,13691.0,7867.0,11685.0,4736.0,29.75,0.006760159313912499,1
150,Elementary,32.619137,-117.07569,"915 Fourth Avenue,Chula Vista,CA,91911",91911,"Rice (Lilian J.) Elementary, Chula Vista Elementary",Chula Vista Elementary,716.0,55898.0,69335.0,86.0,11700.0,14.0,1262.0,65531.0,13691.0,7867.0,11685.0,4736.0,29.75,0.006760159313912499,1
151,Elementary,32.601123,-117.04889,"1450 Loma Lane,Chula Vista,CA,91911",91911,"Loma Verde Elementary, Chula Vista Elementary",Chula Vista Elementary,573.0,55898.0,69335.0,86.0,11700.0,14.0,1262.0,65531.0,13691.0,7867.0,11685.0,4736.0,29.75,0.006760159313912499,1
152,Elementary,32.613776,-117.04282,"300 East Palomar Street,Chula Vista,CA,91911",91911,"Palomar Elementary, Chula Vista Elementary",Chula Vista Elementary,368.0,55898.0,69335.0,86.0,11700.0,14.0,1262.0,65531.0,13691.0,7867.0,11685.0,4736.0,29.75,0.006760159313912499,1
153,Elementary,32.649741,-117.07336,"80 Flower Street,Chula Vista,CA,91911",91911,"Rosebank Elementary, Chula Vista Elementary",Chula Vista Elementary,651.0,55898.0,69335.0,86.0,11700.0,14.0,1262.0,65531.0,13691.0,7867.0,11685.0,4736.0,29.75,0.006760159313912499,1
154,Elementary,32.604937,-117.03275,"1515 Oleander Avenue,Chula Vista,CA,91911",91911,"Valle Lindo Elementary, Chula Vista Elementary",Chula Vista Elementary,477.0,55898.0,69335.0,86.0,11700.0,14.0,1262.0,65531.0,13691.0,7867.0,11685.0,4736.0,29.75,0.006760159313912499,1
155,Elementary,32.612989,-117.03115,"575 Juniper Street,Chula Vista,CA,91911",91911,"Parkview Elementary, Chula Vista Elementary",Chula Vista Elementary,399.0,55898.0,69335.0,86.0,11700.0,14.0,1262.0,65531.0,13691.0,7867.0,11685.0,4736.0,29.75,0.006760159313912499,1
156,Elementary,32.595806,-117.05804,"1651 Albany Avenue,Chula Vista,CA,91911",91911,"Otay Elementary, Chula Vista Elementary",Chula Vista Elementary,619.0,55898.0,69335.0,86.0,11700.0,14.0,1262.0,65531.0,13691.0,7867.0,11685.0,4736.0,29.75,0.006760159313912499,1
157,High School,32.606982,-117.05284,"1395 Hilltop Drive,Chula Vista,CA,91911",91911,"Castle Park Senior High, Sweetwater Union High",Sweetwater Union High,1926.0,55898.0,69335.0,86.0,11700.0,14.0,1262.0,65531.0,13691.0,7867.0,11685.0,4736.0,29.75,0.006760159313912499,1
158,High School,32.622027,-117.07697,"820 Fourth Avenue,Chula Vista,CA,91911",91911,"Chula Vista Senior High, Sweetwater Union High",Sweetwater Union High,2701.0,55898.0,69335.0,86.0,11700.0,14.0,1262.0,65531.0,13691.0,7867.0,11685.0,4736.0,29.75,0.006760159313912499,1
159,High School,32.61526,-117.07696,"467 Moss Street,Chula Vista,CA,91911",91911,"Options Secondary, Sweetwater Union High",Sweetwater Union High,135.0,55898.0,69335.0,86.0,11700.0,14.0,1262.0,65531.0,13691.0,7867.0,11685.0,4736.0,29.75,0.006760159313912499,1
160,High School,32.61872,-117.02445,"730 Medical Center Court,Chula Vista,CA,91911",91911,"Alta Vista Academy, Sweetwater Union High",Sweetwater Union High,77.0,55898.0,69335.0,86.0,11700.0,14.0,1262.0,65531.0,13691.0,7867.0,11685.0,4736.0,29.75,0.006760159313912499,1
161,High School,32.604757,-117.07385,"480 Palomar Street,Chula Vista,CA,91911",91911,"Palomar High, Sweetwater Union High",Sweetwater Union High,440.0,55898.0,69335.0,86.0,11700.0,14.0,1262.0,65531.0,13691.0,7867.0,11685.0,4736.0,29.75,0.006760159313912499,1
162,Intermediate/Middle/Junior High,32.604981,-117.05939,"160 Quintard Street,Chula Vista,CA,91911",91911,"Castle Park Middle, Sweetwater Union High",Sweetwater Union High,905.0,55898.0,69335.0,86.0,11700.0,14.0,1262.0,65531.0,13691.0,7867.0,11685.0,4736.0,29.75,0.006760159313912499,1
163,High School,32.605905,-117.06115,"1355 Second Avenue,Chula Vista,CA,91911",91911,"Sweetwater Community Day, Sweetwater Union High",Sweetwater Union High,45.0,55898.0,69335.0,86.0,11700.0,14.0,1262.0,65531.0,13691.0,7867.0,11685.0,4736.0,29.75,0.006760159313912499,1
164,Elementary,32.584496,-117.04839,"3950 Byrd Street,San Diego,CA,92154",92154,"Finney (Myrtle S.) Elementary, Chula Vista Elementary",Chula Vista Elementary,402.0,66148.0,76400.0,86.3,11286.0,13.7,1102.0,69152.0,13172.0,5530.0,10942.0,5154.0,28.95,0.007577510411846368,1
165,Elementary,32.578749,-117.05258,"3730 Arey Drive,San Diego,CA,92154",92154,"Silver Wing Elementary, Chula Vista Elementary",Chula Vista Elementary,458.0,66148.0,76400.0,86.3,11286.0,13.7,1102.0,69152.0,13172.0,5530.0,10942.0,5154.0,28.95,0.007577510411846368,1
166,Elementary,32.58072,-117.04543,"849 Twining Avenue,San Diego,CA,92154",92154,"Juarez-Lincoln Elementary, Chula Vista Elementary",Chula Vista Elementary,596.0,66148.0,76400.0,86.3,11286.0,13.7,1102.0,69152.0,13172.0,5530.0,10942.0,5154.0,28.95,0.007577510411846368,1
167,Elementary,32.572654,-117.04889,"1332 Kenalan Drive,San Diego,CA,92154",92154,"Los Altos Elementary, Chula Vista Elementary",Chula Vista Elementary,353.0,66148.0,76400.0,86.3,11286.0,13.7,1102.0,69152.0,13172.0,5530.0,10942.0,5154.0,28.95,0.007577510411846368,1
168,Intermediate/Middle/Junior High,32.570714,-117.02802,"4885 Del Sol Boulevard,San Diego,CA,92154",92154,"Vista Del Mar, San Ysidro Elementary",San Ysidro Elementary,444.0,66148.0,76400.0,86.3,11286.0,13.7,1102.0,69152.0,13172.0,5530.0,10942.0,5154.0,28.95,0.007577510411846368,1
169,Elementary,32.572128,-117.02577,"4919 Del Sol Boulevard,San Diego,CA,92154",92154,"Ocean View Hills, San Ysidro Elementary",San Ysidro Elementary,1077.0,66148.0,76400.0,86.3,11286.0,13.7,1102.0,69152.0,13172.0,5530.0,10942.0,5154.0,28.95,0.007577510411846368,1
170,Elementary,32.576466,-117.09159,"1915 Coronado Avenue,San Diego,CA,92154",92154,"Emory Elementary, South Bay Union",South Bay Union,580.0,66148.0,76400.0,86.3,11286.0,13.7,1102.0,69152.0,13172.0,5530.0,10942.0,5154.0,28.95,0.007577510411846368,1
171,Elementary,32.58014,-117.07974,"2500 Elm Avenue,San Diego,CA,92154",92154,"Sunnyslope Elementary, South Bay Union",South Bay Union,560.0,66148.0,76400.0,86.3,11286.0,13.7,1102.0,69152.0,13172.0,5530.0,10942.0,5154.0,28.95,0.007577510411846368,1
172,Elementary,32.568151,-117.08999,"2001 Rimbey Street,San Diego,CA,92154",92154,"Godfrey G. Berry Elementary, South Bay Union",South Bay Union,545.0,66148.0,76400.0,86.3,11286.0,13.7,1102.0,69152.0,13172.0,5530.0,10942.0,5154.0,28.95,0.007577510411846368,1
173,Elementary,32.579102,-117.06191,"877 Via Tonga Court,San Diego,CA,92154",92154,"Howard Pence Elementary, South Bay Union",South Bay Union,723.0,66148.0,76400.0,86.3,11286.0,13.7,1102.0,69152.0,13172.0,5530.0,10942.0,5154.0,28.95,0.007577510411846368,1
174,Elementary,32.576464,-117.08954,"2050 Coronado Avenue,San Diego,CA,92154",92154,"Teofilo Mendoza, South Bay Union",South Bay Union,871.0,66148.0,76400.0,86.3,11286.0,13.7,1102.0,69152.0,13172.0,5530.0,10942.0,5154.0,28.95,0.007577510411846368,1
175,High School,32.568057,-117.08409,"1685 Hollister Street,San Diego,CA,92154",92154,"Southwest Senior High, Sweetwater Union High",Sweetwater Union High,1933.0,66148.0,76400.0,86.3,11286.0,13.7,1102.0,69152.0,13172.0,5530.0,10942.0,5154.0,28.95,0.007577510411846368,1
176,High School,32.566438,-117.01748,"5353 Airway Road,San Diego,CA,92154",92154,"San Ysidro High, Sweetwater Union High",Sweetwater Union High,2632.0,66148.0,76400.0,86.3,11286.0,13.7,1102.0,69152.0,13172.0,5530.0,10942.0,5154.0,28.95,0.007577510411846368,1
177,High School,32.583873,-117.06422,"3250 Palm Avenue,San Diego,CA,92154",92154,"Montgomery Senior High, Sweetwater Union High",Sweetwater Union High,2054.0,66148.0,76400.0,86.3,11286.0,13.7,1102.0,69152.0,13172.0,5530.0,10942.0,5154.0,28.95,0.007577510411846368,1
178,Intermediate/Middle/Junior High,32.57488,-117.09709,"1267 Thermal Avenue,San Diego,CA,92154",92154,"Mar Vista Academy, Sweetwater Union High",Sweetwater Union High,827.0,66148.0,76400.0,86.3,11286.0,13.7,1102.0,69152.0,13172.0,5530.0,10942.0,5154.0,28.95,0.007577510411846368,1
179,Intermediate/Middle/Junior High,32.569138,-117.07381,"2710 Iris Street,San Diego,CA,92154",92154,"Southwest Middle, Sweetwater Union High",Sweetwater Union High,754.0,66148.0,76400.0,86.3,11286.0,13.7,1102.0,69152.0,13172.0,5530.0,10942.0,5154.0,28.95,0.007577510411846368,1
180,Intermediate/Middle/Junior High,32.576045,-117.05612,"1051 Picador Boulevard,San Diego,CA,92154",92154,"Montgomery Middle, Sweetwater Union High",Sweetwater Union High,969.0,66148.0,76400.0,86.3,11286.0,13.7,1102.0,69152.0,13172.0,5530.0,10942.0,5154.0,28.95,0.007577510411846368,1
181,High School,32.691403,-117.17817,"650 D Avenue,Coronado,CA,92118",92118,"Coronado High, Coronado Unified",Coronado Unified,1193.0,121710.0,166867.0,97.3,523.0,2.7,2187.0,18864.0,2898.0,1444.0,2821.0,4221.0,21.36,0.001166242578456319,2
182,Elementary,32.693914,-117.18213,"600 Sixth Street,Coronado,CA,92118",92118,"Coronado Village Elementary, Coronado Unified",Coronado Unified,893.0,121710.0,166867.0,97.3,523.0,2.7,2187.0,18864.0,2898.0,1444.0,2821.0,4221.0,21.36,0.001166242578456319,2
