,date,age_9,age10_19,age20_29,age30_39,age40_49,age50_59,age60_69,age70_79,age80_plus,ageunknow,genderfemale,gendermale,newtests,newcases,test_positivity_rate
76,2020/05/22 08:00:00+00,97,244,1104,1240,1055,1173,753,459,430,4,3273,3274,3795,125,0.033
77,2020/05/23 08:00:00+00,99,254,1137,1266,1075,1197,771,463,434,5,3351,3339,4548,142,0.031
78,2020/05/24 08:00:00+00,104,270,1158,1285,1082,1211,777,470,436,4,3401,3386,3700,96,0.026
79,2020/05/25 08:00:00+00,105,277,1175,1304,1096,1225,782,474,439,5,3442,3428,3908,85,0.022
80,2020/05/26 08:00:00+00,108,283,1205,1319,1116,1241,788,478,441,4,3487,3484,3021,101,0.033
81,2020/05/27 08:00:00+00,111,288,1232,1339,1140,1257,801,483,445,4,3552,3537,3699,117,0.032
82,2020/05/28 08:00:00+00,118,299,1259,1362,1162,1274,819,489,453,5,3630,3598,4624,140,0.03
83,2020/05/29 08:00:00+00,120,310,1282,1388,1188,1300,830,495,468,4,3709,3661,4300,145,0.034
84,2020/05/30 08:00:00+00,123,319,1306,1407,1195,1308,839,505,475,4,3757,3710,3929,96,0.024
85,2020/05/31 08:00:00+00,125,324,1322,1426,1204,1317,847,506,479,4,3793,3747,3655,73,0.02
86,2020/06/01 08:00:00+00,128,331,1355,1449,1218,1337,854,513,483,6,3859,3803,3939,120,0.03
87,2020/06/02 08:00:00+00,132,339,1385,1474,1231,1353,869,521,489,5,3919,3867,4940,124,0.025
88,2020/06/03 08:00:00+00,140,350,1421,1491,1243,1374,883,531,502,5,3995,3930,3714,142,0.038
89,2020/06/04 08:00:00+00,154,364,1483,1547,1273,1413,895,542,505,4,4138,4032,5936,240,0.04
90,2020/06/05 08:00:00+00,161,370,1523,1568,1304,1446,908,550,511,4,4223,4112,3863,165,0.043
91,2020/06/06 08:00:00+00,165,378,1561,1589,1324,1465,921,554,515,4,4290,4177,5732,131,0.023
92,2020/06/07 08:00:00+00,170,389,1601,1619,1346,1482,929,560,519,4,4363,4247,3844,143,0.037
93,2020/06/08 08:00:00+00,173,395,1628,1638,1362,1504,939,561,525,4,4422,4299,3963,110,0.028
94,2020/06/09 08:00:00+00,178,408,1653,1670,1374,1514,945,562,528,5,4486,4342,3854,108,0.028
95,2020/06/10 08:00:00+00,186,415,1692,1708,1395,1533,963,564,537,5,4569,4420,4997,161,0.032
96,2020/06/11 08:00:00+00,189,419,1720,1731,1421,1559,973,572,541,5,4638,4483,6384,132,0.021
